2019-01-20 14:31:41.340   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 0
2019-01-20 14:31:41.340   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.340   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 4
2019-01-20 14:31:41.340   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.340   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 2
2019-01-20 14:31:41.340   CheckpointerImpl send_rollback       215 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.341   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.341   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 2
2019-01-20 14:31:41.341   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.341   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 2
2019-01-20 14:31:41.341   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.341   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 1
2019-01-20 14:31:41.342   CheckpointerImpl send_rollback       215 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.342   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.342   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 0
2019-01-20 14:31:41.342   CheckpointerImpl send_rollback       215 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.342   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.343   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 4
2019-01-20 14:31:41.343   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.343   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 1
2019-01-20 14:31:41.343   CheckpointerImpl send_rollback       215 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.344   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.344   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 3
2019-01-20 14:31:41.344   CheckpointerImpl send_rollback       215 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.344   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.344   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 4
2019-01-20 14:31:41.345   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.345   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 4
2019-01-20 14:31:41.345   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.345   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 1
2019-01-20 14:31:41.345   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.345   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 1
2019-01-20 14:31:41.346   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.346   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 4
2019-01-20 14:31:41.346   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.346   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 0
2019-01-20 14:31:41.346   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.346   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 0
2019-01-20 14:31:41.347   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.347   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 0
2019-01-20 14:31:41.347   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.347   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 1
2019-01-20 14:31:41.347   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.347   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 1
2019-01-20 14:31:41.347   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.348   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 3
2019-01-20 14:31:41.348   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.348   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 3
2019-01-20 14:31:41.348   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.348   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 3
2019-01-20 14:31:41.348   CheckpointerImpl send_rollback       215 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.349   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.349   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 4
2019-01-20 14:31:41.349   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.349   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 2
2019-01-20 14:31:41.349   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.349   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 2
2019-01-20 14:31:41.350   CheckpointerImpl send_rollback       215 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.350   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.350   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 2
2019-01-20 14:31:41.350   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.350   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 2
2019-01-20 14:31:41.350   CheckpointerImpl send_rollback       215 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.351   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.351   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 3
2019-01-20 14:31:41.351   CheckpointerImpl send_rollback       215 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.351   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.352   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 2
2019-01-20 14:31:41.352   CheckpointerImpl send_rollback       215 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.352   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.352   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 0
2019-01-20 14:31:41.352   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.352   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 2
2019-01-20 14:31:41.353   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.353   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 2
2019-01-20 14:31:41.353   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
